pss_locale,county_code,school_id,school_name,lo_grade,hi_grade,street,city,pss_county_fips,state,pss_fips,zip,pss_phone,pss_sch_days,pss_stu_day_hrs,pss_library,pss_enroll_ug,pss_enroll_pk,pss_enroll_k,pss_enroll_1,pss_enroll_2,pss_enroll_3,pss_enroll_4,pss_enroll_5,pss_enroll_6,pss_enroll_7,pss_enroll_8,pss_enroll_9,pss_enroll_10,pss_enroll_11,pss_enroll_12,enrollment,pss_enroll_tk12,pss_race_ai,pss_race_as,pss_race_h,pss_race_b,pss_race_w,pss_race_p,pss_race_2,teachers_fte,pss_coed,pss_type,pss_level,pss_relig,pss_comm_type,pss_indian_pct,pss_asian_pct,pss_hisp_pct,pss_black_pct,pss_white_pct,pss_pacisl_pct,pss_twomore_pct,pss_stdtch_rt,pss_orient,pss_county_name,pss_assoc_1,pss_assoc_2,pss_assoc_3,pss_assoc_4,pss_assoc_5,pss_assoc_6,pss_assoc_7,pss_assoc_8,grade_band,county_name,school_type,school_type_detail,pvt_pct_nonwhite,locale_label,locale_type,definition,school_status
11,24510,A9502014,A Child S Place,2,3,4701 N CHARLES ST,BALTIMORE,510,MD,24,21210,4105325399,170,6,Yes,NA,38,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,5,0,0,0,0,4,0,1,1,1,7,1,1,1,0,0,0,0,80,0,20,5,1,BALTIMORE,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,ES,Baltimore City,private,private,20,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,A1501896,The Community School,14,17,337 W 30TH ST,BALTIMORE,510,MD,24,21211,4104674920,175,8.83,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,4,20,20,0,0,4,3,13,0,0,2.3,1,3,2,3,1,0,0,20,15,65,0,0,8.69,30,BALTIMORE,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,HS,Baltimore City,private,private,35,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,00580103,Gilman School,3,17,5407 ROLAND AVE,BALTIMORE,510,MD,24,21210,4103233800,176,8,Yes,NA,NA,59,39,42,41,53,52,79,76,86,124,127,116,117,1011,1011,1,132,13,124,689,0,52,144.8,3,1,3,3,1,0.09,13.05,1.28,12.26,68.15,0,5.14,6.98,30,BALTIMORE,National Association of Independent Schools (NAIS),NA,NA,NA,NA,NA,NA,NA,All Grades,Baltimore City,private,private,18.77,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,00578309,Mercy High School,14,17,1300 E NORTHERN PKWY,BALTIMORE,510,MD,24,21239,4104338880,174,7.91,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,88,73,84,326,326,0,10,11,109,185,0,11,26.1,2,1,2,1,1,0,3.06,3.37,33.43,56.74,0,3.37,12.49,1,BALTIMORE,State or regional independent school association,Other school association(s),NA,NA,NA,NA,NA,NA,HS,Baltimore City,private,private,40.169999999999995,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,A1101178,Cheder Chabad,2,13,5713B PARK HEIGHTS AVE,BALTIMORE,510,MD,24,21215,4105851498,182,8.5,No,NA,65,24,23,16,21,7,19,6,7,6,NA,NA,NA,NA,194,129,0,0,0,0,129,0,0,18.3,1,1,1,2,1,0,0,0,0,100,0,0,7.04,18,BALTIMORE,Other religious school associations,NA,NA,NA,NA,NA,NA,NA,ES/MS,Baltimore City,private,private,0,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,A1701981,Tong Le Montessori School,2,3,805 E FAYETTE ST,BALTIMORE,510,MD,24,21202,4109291628,200,7,Yes,NA,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,0,1,0,0,0,0,0,1,1,2,1,3,1,0,100,0,0,0,0,0,1,30,BALTIMORE,Other Montessori association(s),NA,NA,NA,NA,NA,NA,NA,ES,Baltimore City,private,private,0,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,A1501793,Baltimore Montessori,2,3,1530 E FORT AVE,BALTIMORE,510,MD,24,21230,4106857116,200,7.5,No,NA,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,5,0,0,0,0,5,0,0,3,1,2,1,3,1,0,0,0,0,100,0,0,1.66,30,BALTIMORE,Other Montessori association(s),NA,NA,NA,NA,NA,NA,NA,ES,Baltimore City,private,private,0,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,00578808,School Of The Cathedral Mary Our Queen,3,13,111 AMBERLY WAY,BALTIMORE,510,MD,24,21210,4104644100,180,6.75,Yes,NA,NA,44,40,45,49,56,50,34,30,33,NA,NA,NA,NA,381,381,0,5,10,33,323,0,10,32.1,1,1,1,1,1,0,1.31,2.62,8.66,84.77,0,2.62,11.86,1,BALTIMORE,National Catholic Educational Association (NCEA),NA,NA,NA,NA,NA,NA,NA,ES/MS,Baltimore City,private,private,13.900000000000002,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,00578411,Mount Saint Joseph High School,14,17,4403 FREDERICK AVE,BALTIMORE,510,MD,24,21229,4106443300,180,6.5,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,240,217,202,922,922,3,25,14,187,678,2,13,80.3,3,1,2,2,1,0.32,2.71,1.51,20.28,73.53,0.21,1.4,11.48,2,BALTIMORE,National Catholic Educational Association (NCEA),NA,NA,NA,NA,NA,NA,NA,HS,Baltimore City,private,private,23.72,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
11,24510,A1501839,Gods Little Cherubs Elementary School,6,7,5300 GWYNN OAK AVE,BALTIMORE,510,MD,24,21207,4433160079,180,7,Yes,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,4,0,0,0,2.9,1,1,1,2,1,0,0,0,100,0,0,0,1.37,8,BALTIMORE,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,ES,Baltimore City,private,private,100,City large,City: Large,"Territory inside an urbanized area and inside a principal city with population of 250,000 or more.",Open
