school_id,school_name,county_name,street,city,zip,locale_label,grade_band,school_type,school_type_detail,teachers_fte,enrollment,title_i_status,title_i_school,free_or_reduced_price_lunch,farm_pct,lunch_program,pvt_pct_nonwhite,school_status
00578513,Bishop Walsh School,Allegany County,700 BISHOP WALSH RD,CUMBERLAND,21502,City small,All Grades,private,private,35.6,354,NA,NA,NA,NA,NA,5.22,Open
240003000001,Allegany High,Allegany County,900 Seton Dr,Cumberland,21502,City small,HS,public,public,41,721,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,264,0.36615811373092927,Yes participating without using any Provision or the CEP,NA,Open
240003000003,Beall Elementary,Allegany County,3 E College Ave,Frostburg,21532,Suburb small,ES,public,public,29,452,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,252,0.5575221238938053,Yes participating without using any Provision or the CEP,NA,Open
240003000005,Bel Air Elementary,Allegany County,14401 Barton Blvd,Cumberland,21502,Rural fringe,ES,public,public,16,227,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,107,0.4713656387665198,Yes participating without using any Provision or the CEP,NA,Open
240003000006,Braddock Middle,Allegany County,909 Holland St,Cumberland,21502,City small,MS,public,public,38,600,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,268,0.44666666666666666,Yes participating without using any Provision or the CEP,NA,Open
240003000007,Westmar Middle,Allegany County,16915 Lower Georges Creek Rd,Lonaconing,21539,Rural fringe,MS,public,public,24,273,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,164,0.6007326007326007,Yes participating without using any Provision or the CEP,NA,Open
240003000010,Cresaptown Elementary,Allegany County,13202 6th Ave,Cresaptown,21502,Rural fringe,ES,public,public,19,321,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,163,0.5077881619937694,Yes participating without using any Provision or the CEP,NA,Open
240003000014,Flintstone Elementary,Allegany County,22000 National Pike Ne,Flintstone,21530,Rural distant,ES,public,public,17,226,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,124,0.5486725663716814,Yes participating without using any Provision or the CEP,NA,Open
240003000015,Fort Hill High,Allegany County,500 Greenway Ave,Cumberland,21502,City small,HS,public,public,45,715,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,320,0.44755244755244755,Yes participating without using any Provision or the CEP,NA,Open
240003000016,Frost Elementary,Allegany County,260 Shaw St,Frostburg,21532,Suburb small,ES,public,public,14,215,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,63,0.2930232558139535,Yes participating without using any Provision or the CEP,NA,Open
240003000017,Georges Creek Elementary,Allegany County,15600 Lower Georges Creek Rd S,Lonaconing,21539,Rural fringe,ES,public,public,20,302,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,302,1,Yes under the Community Eligibility Provision (CEP),NA,Open
240003000019,John Humbird Elementary,Allegany County,120 Mary St,Cumberland,21502,City small,ES,public,public,21,273,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,273,1,Yes under the Community Eligibility Provision (CEP),NA,Open
240003000023,Mount Savage Middle,Allegany County,13201 New School Rd  Nw,Mount Savage,21545,Rural fringe,MS,public,public,29,388,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,167,0.43041237113402064,Yes participating without using any Provision or the CEP,NA,Open
240003000024,Northeast Elementary,Allegany County,11001 Forest Ave Ne,Cumberland,21502,Rural fringe,ES,public,public,16,323,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,173,0.5356037151702786,Yes participating without using any Provision or the CEP,NA,Open
240003000026,Parkside Elementary,Allegany County,50 Parkside Blvd,Lavale,21502,Suburb small,ES,public,public,16,201,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,97,0.48258706467661694,Yes participating without using any Provision or the CEP,NA,Open
240003000030,Center for Career & Technical Education,Allegany County,14211 Mcmullen Hwy Sw,Cresaptown,21502,Suburb small,HS,public,public,25,219,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,100,0.45662100456621,Yes participating without using any Provision or the CEP,NA,Open
240003000031,Washington Middle,Allegany County,200 Massachusetts Ave,Cumberland,21502,City small,MS,public,public,43,592,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,314,0.5304054054054054,Yes participating without using any Provision or the CEP,NA,Open
