PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A9502014,A CHILD S PLACE,2,3,4701 N CHARLES ST,BALTIMORE,24510,510,MD,24,21210,4105325399,170,6,Yes,,38,5,,,,,,,,,,,,,43,5,0,0,0,0,4,0,1,1,11,1,7,1,1,1,0,0,0,0,80,0,20,5,1,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
01604497,ACADEMY OF THE HOLY CROSS,14,17,4920 STRATHMORE AVE,KENSINGTON,24031,031,MD,24,20895,3019422100,175,6.75,Yes,,,,,,,,,,,,131,118,124,120,493,493,1,28,24,47,300,1,92,42.9,21,2,1,2,1,2,0.2,5.67,4.86,9.53,60.85,0.2,18.66,11.49,1,MONTGOMERY,National Catholic Educational Association (NCEA),,,,,,,
A0901633,ACADEMY PRIMARY SCHOOL & CHILD DEVELOPMENT CENTER,2,4,10107 DARNESTOWN RD,ROCKVILLE,24031,031,MD,24,20850,3014249475,150,6.5,No,,50,10,,,,,,,,,,,,,60,10,0,3,0,0,5,0,2,1,21,1,6,1,3,2,0,30,0,0,50,0,20,10,30,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
K9302773,ACORN HILL WALDORF KINDERGARTEN & NURSERY,2,3,9504 BRUNETT AVE,SILVER SPRING,24031,031,MD,24,20901,3015652282,173,6,Yes,,50,9,,,,,,,,,,,,,59,9,0,0,0,0,9,0,0,6,13,1,7,1,3,1,0,0,0,0,100,0,0,1.5,30,MONTGOMERY,Other school association(s),,,,,,,
A9701726,AL-HUDA SCHOOL,2,17,5301 EDGEWOOD RD,COLLEGE PARK,24033,033,MD,24,20740,3019822402,180,7.33,No,,53,55,58,56,54,60,44,44,49,44,34,32,24,20,627,574,0,202,2,152,8,0,210,20.1,21,1,1,3,2,2,0,35.19,0.34,26.48,1.39,0,36.58,28.55,17,PRINCE GEORGE'S,Islamic School League of America (ISLA),,,,,,,
A9103128,AL-RAHMAH SCHOOL,2,17,6631 JOHNNYCAKE RD,BALTIMORE,24005,005,MD,24,21244,4437221411,175,7.5,Yes,,50,40,38,29,37,33,25,24,25,26,9,8,15,1,360,310,0,307,0,2,1,0,0,41,21,1,1,3,2,2,0,99.03,0,0.64,0.32,0,0,7.56,17,BALTIMORE,Islamic School League of America (ISLA),,,,,,,
A1501789,ALEF BET MONTESSORI SCHOOL INC.,2,3,7300 WHITTIER BLVD,BETHESDA,24031,031,MD,24,20817,3015565010,175,6.41,No,,11,1,,,,,,,,,,,,,12,1,0,0,0,0,1,0,0,1,13,1,2,1,2,1,0,0,0,0,100,0,0,1,18,MONTGOMERY,Association Montessori International (AMI),National Independent Private School Association (NIPSA),,,,,,
A1771121,ALEF BET MONTESSORI SCHOOL INC.,2,3,7300 WHITTIER BLVD STE 1,BETHESDA,24031,031,MD,24,20817,3015565010,175,6.25,No,,22,1,,,,,,,,,,,,,23,1,0,0,0,0,1,0,0,1.9,13,1,2,1,2,1,0,0,0,0,100,0,0,0.52,18,MONTGOMERY,Other religious school associations,Association Montessori International (AMI),Other school association(s),,,,,
A1301521,ALL ABOUT CHILDREN LEARNING CENTER,3,3,1201 MAPLE AVE,ARBUTUS,24005,005,MD,24,21227,4102426009,261,10.98,Yes,,,10,,,,,,,,,,,,,10,10,0,0,0,1,9,0,0,1,21,1,6,1,3,2,0,0,0,10,90,0,0,10,30,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
A1301522,ALLEGANY BOYS CAMP,1,1,20700 WAGNER CUTOFF RD SE,OLDTOWN,24001,001,MD,24,21555,3014785721,186,10,No,30,,,,,,,,,,,,,,,30,30,0,0,5,5,20,0,0,6.9,42,3,6,3,2,4,0,0,16.66,16.66,66.66,0,0,4.34,24,ALLEGANY,Other religious school associations,,,,,,,
A9103129,ALPERT FAMILY ALEPH BET JEWISH DAY SCHOOL,6,10,1125 SPA RD,ANNAPOLIS,24003,003,MD,24,21403,4102639044,172,7,Yes,,,,1,3,3,5,3,,,,,,,,15,15,0,0,0,4,11,0,0,4.9,21,1,1,1,2,2,0,0,0,26.66,73.33,0,0,3.06,18,ANNE ARUNDEL,The Jewish Community Day School Association (RAVSAK),Other school association(s),,,,,,
BB161242,ANNAPOLIS AREA CHRISTIAN,11,13,716 BESTGATE RD,ANNAPOLIS,24003,003,MD,24,21401,4105195300,175,7,Yes,,,,,,,,,86,72,64,,,,,222,222,0,4,3,46,159,0,10,19.6,21,1,1,1,2,2,0,1.8,1.35,20.72,71.62,0,4.5,11.32,8,ANNE ARUNDEL,Association of Christian Schools International (ACSI),Christian Schools International (CSI),Other school association(s),,,,,
BB161243,ANNAPOLIS AREA CHRISTIAN SCHL,2,10,710 RIDGELY AVE,ANNAPOLIS,24003,003,MD,24,21401,4105195300,175,7,Yes,,12,21,20,28,18,48,34,,,,,,,,181,169,0,3,4,30,129,0,3,18,21,1,1,1,2,2,0,1.77,2.36,17.75,76.33,0,1.77,9.38,8,ANNE ARUNDEL,Association of Christian Schools International (ACSI),Christian Schools International (CSI),Other school association(s),,,,,
00580067,ANNAPOLIS AREA CHRISTIAN SCHOOL,2,17,109 BURNS CROSSING RD,SEVERN,24003,003,MD,24,21144,4105195300,175,7.16,Yes,,12,32,38,39,27,63,46,88,72,63,110,111,108,102,911,899,1,29,18,235,579,2,35,85.6,41,1,1,3,2,4,0.11,3.22,2,26.14,64.4,0.22,3.89,10.5,8,ANNE ARUNDEL,Association of Christian Schools International (ACSI),Christian Schools International (CSI),Other school association(s),,,,,
A9103131,APPLE MONTESSORI SCHOOL,2,3,7210 HIDDEN CREEK RD,BETHESDA,24031,031,MD,24,20817,3013208832,182,10,Yes,,44,1,,,,,,,,,,,,,45,1,0,0,0,0,1,0,0,11,13,1,2,1,3,1,0,0,0,0,100,0,0,0.09,30,MONTGOMERY,American Montessori Society (AMS),,,,,,,
K9303021,APPLE RIDGE MONTESSORI SCHOOL,2,3,9389 FURROW AVE,ELLICOTT CITY,24005,005,MD,24,21042,4108182000,175,6.5,Yes,,12,3,,,,,,,,,,,,,15,3,0,0,0,1,1,0,1,1,21,1,2,1,3,2,0,0,0,33.33,33.33,0,33.33,3,30,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
00578364,ARCHBISHOP BORDERS SCHOOL,2,13,3500 FOSTER AVE,BALTIMORE,24510,510,MD,24,21224,4102766534,180,7,Yes,,38,22,24,24,15,18,29,18,12,15,,,,,215,177,0,0,119,43,13,0,2,12.6,11,1,3,1,1,1,0,0,67.23,24.29,7.34,0,1.12,14.04,1,BALTIMORE,National Catholic Educational Association (NCEA),,,,,,,
00578116,ARCHBISHOP CURLEY HIGH SCHOOL,14,17,3701 SINCLAIR LN,BALTIMORE,24510,510,MD,24,21213,4104855000,175,6.41,Yes,,,,,,,,,,,,159,154,127,134,574,574,0,15,16,153,375,4,11,43.3,11,3,1,2,1,1,0,2.61,2.78,26.65,65.33,0.69,1.91,13.25,1,BALTIMORE,Other school association(s),,,,,,,
01604384,ARCHBISHOP NEALE SCHOOL,2,13,104 PORT TOBACCO RD,LA PLATA,24017,017,MD,24,20646,3019349595,,7,Yes,,18,34,26,33,39,42,35,49,43,35,,,,,354,336,4,11,22,80,175,4,40,15.3,22,1,1,1,1,2,1.19,3.27,6.54,23.8,52.08,1.19,11.9,21.96,1,CHARLES,National Catholic Educational Association (NCEA),,,,,,,
00578728,ARCHBISHOP SPALDING HIGH SCHOOL,14,17,8080 NEW CT RD,SEVERN,24003,003,MD,24,21144,4109699105,178,6,Yes,,,,,,,,,,,,320,305,319,301,1245,1245,2,29,52,70,1054,0,38,87.9,21,1,1,2,1,2,0.16,2.32,4.17,5.62,84.65,0,3.05,14.16,1,ANNE ARUNDEL,National Catholic Educational Association (NCEA),,,,,,,
00580952,ARLINGTON BAPTIST SCHOOL,2,17,3030 N ROLLING RD,BALTIMORE,24005,005,MD,24,21244,4106559300,175,7,Yes,,13,16,19,13,10,12,14,16,20,11,9,13,14,14,194,181,0,0,2,167,7,0,5,16.9,21,1,1,3,2,2,0,0,1.1,92.26,3.86,0,2.76,10.71,5,BALTIMORE,Association of Christian Schools International (ACSI),State or regional independent school association,,,,,,
02030521,ARNOLD CHRISTIAN ACADEMY,3,13,365 JONES STATION RD,ARNOLD,24003,003,MD,24,21012,4105441882,170,7.33,Yes,,,6,5,5,5,1,6,5,6,3,,,,,42,42,0,0,3,3,36,0,0,7.1,21,1,1,1,2,2,0,0,7.14,7.14,85.71,0,0,5.91,8,ANNE ARUNDEL,Association of Christian Schools International (ACSI),,,,,,,
A1701896,ARROW CENTER FOR EDUCATION TANGRAM,1,1,8830 ORCHARD TREE LN,BALTIMORE,24005,005,MD,24,21286,4437986310,220,6,Yes,27,,,,,,,,,,,,,,,27,27,,,,,,,,5,13,1,4,3,2,1,,,,,,,,5.4,8,BALTIMORE,Christian Schools International (CSI),,,,,,,
A1701897,ARTS & IDEAS SUDBURY SCHOOL,1,1,4915 HOLDER AVE,BALTIMORE,24510,510,MD,24,21214,4104260001,170,9.5,Yes,68,,,,,,,,,,,,,,,68,68,2,4,1,4,50,0,7,,11,1,7,3,3,1,2.94,5.88,1.47,5.88,73.52,0,10.29,,30,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
A1301523,ARUNDEL CHRISTIAN SCHOOL,2,17,"7459 CANDLEWOOD ROAD, SUITES A-F",HANOVER,24003,003,MD,24,21076,4108598573,174,6,Yes,,91,27,21,24,18,11,13,16,18,20,16,9,15,19,318,227,0,16,12,117,66,1,15,18.4,21,1,1,3,2,2,0,7.04,5.28,51.54,29.07,0.44,6.6,12.33,8,ANNE ARUNDEL,School does not belong to ANY associations or organizations,,,,,,,
K9303088,ASBURY CHILD DEVELOPMENT CENTER,2,3,1401 CAMDEN AVE,SALISBURY,24045,045,MD,24,21801,4107427058,170,6,No,,52,16,,,,,,,,,,,,,68,16,0,0,1,0,15,0,0,1,23,1,7,1,2,2,0,0,6.25,0,93.75,0,0,16,25,WICOMICO,School does not belong to ANY associations or organizations,,,,,,,
A0501793,AVALON SCHOOL,3,17,200 W DIAMOND AVE,GAITHERSBURG,24031,031,MD,24,20877,3019638022,180,7,No,,,12,5,7,5,7,14,15,16,9,26,29,32,41,218,218,0,11,17,29,158,0,3,20,13,3,1,3,1,1,0,5.04,7.79,13.3,72.47,0,1.37,10.9,1,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
A0301711,BAIS HAMEDRASH & MESIVTA OF BALTIMORE,14,17,6823 OLD PIMLICO RD,BALTIMORE,24005,005,MD,24,21209,4104860006,242,5,Yes,,,,,,,,,,,,26,24,22,25,97,97,0,0,0,0,97,0,0,5.3,21,3,3,2,2,2,0,0,0,0,100,0,0,18.3,18,BALTIMORE,Other religious school associations,,,,,,,
A0501794,BAIS YAAKOV EVA WINER HIGH SCHOOL,14,17,6302 SMITH AVE,BALTIMORE,24005,005,MD,24,21209,4435487700,173,8.48,Yes,,,,,,,,,,,,108,98,90,80,376,376,0,0,0,0,376,0,0,63.1,21,2,1,2,2,2,0,0,0,0,100,0,0,5.95,18,BALTIMORE,National Society for Hebrew Day Schools (Torah U’Mesorah),,,,,,,
02031117,BALTIMORE ACTOR'S THEATRE - THE DUMBARTON HOUSE,8,17,300 DUMBARTON RD STE 2,BALTIMORE,24005,005,MD,24,21212,4103378519,172,8.5,Yes,,,,,,2,,,2,,,,1,1,2,8,8,0,0,0,3,5,0,0,6,13,1,3,3,3,1,0,0,0,37.5,62.5,0,0,1.33,30,BALTIMORE,,,,,,,,
00581231,BALTIMORE JUNIOR ACADEMY,2,13,3006 W COLD SPRING LN,BALTIMORE,24510,510,MD,24,21215,4105426758,180,7,No,,6,12,15,5,11,11,6,9,2,7,,,,,84,78,0,0,0,78,0,0,0,6,11,1,1,1,2,1,0,0,0,100,0,0,0,13,28,BALTIMORE,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0501795,BALTIMORE LAB SCHOOL,6,17,2220 SAINT PAUL ST,BALTIMORE,24510,510,MD,24,21218,4102615500,180,7.25,Yes,,,,2,1,4,11,8,24,10,11,23,16,18,9,137,137,0,5,6,24,95,0,7,36,11,1,4,3,3,1,0,3.64,4.37,17.51,69.34,0,5.1,3.8,30,BALTIMORE,State or regional independent school association,,,,,,,
A1501793,BALTIMORE MONTESSORI,2,3,1530 E FORT AVE,BALTIMORE,24510,510,MD,24,21230,4106857116,200,7.5,No,,60,5,,,,,,,,,,,,,65,5,0,0,0,0,5,0,0,3,11,1,2,1,3,1,0,0,0,0,100,0,0,1.66,30,BALTIMORE,Other Montessori association(s),,,,,,,
A1301528,BALTIMORE SCHOOL CANTON THE,2,3,1001 S POTOMAC ST,BALTIMORE,24510,510,MD,24,21224,4103427116,205,6.5,No,,20,5,,,,,,,,,,,,,25,5,0,1,1,0,3,0,0,3,11,1,2,1,3,1,0,20,20,0,60,0,0,1.66,30,BALTIMORE,Other school association(s),,,,,,,
A0103925,BALTIMORE WHITE MARSH ADVENTIST SCHOOL,2,13,7427 ROSSVILLE BLVD,BALTIMORE,24005,005,MD,24,21237,4106631819,180,7,Yes,,9,6,2,1,3,3,4,,4,2,,,,,34,25,0,2,5,15,1,0,2,4.4,21,1,1,1,2,2,0,8,20,60,4,0,8,5.68,28,BALTIMORE,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
00579346,BARNESVILLE SCHOOL OF ARTS & SCIENCES,2,13,PO BOX 404,BARNESVILLE,24031,031,MD,24,20838,3019720341,174,7,Yes,,21,4,10,9,7,8,10,16,23,18,,,,,126,105,0,10,8,8,73,0,6,15,41,1,1,1,3,4,0,9.52,7.61,7.61,69.52,0,5.71,7,30,MONTGOMERY,National Association of Independent Schools (NAIS),,,,,,,
00579109,BARRIE SCHOOL,2,17,13500 LAYHILL RD,SILVER SPRING,24031,031,MD,24,20906,3015762800,170,7.5,No,,91,16,10,14,12,12,9,23,15,9,22,11,23,17,284,193,0,28,8,59,64,0,34,35.3,21,1,1,3,3,2,0,14.5,4.14,30.56,33.16,0,17.61,5.46,30,MONTGOMERY,American Montessori Society (AMS),National Association of Independent Schools (NAIS),,,,,,
A9502030,BAY MONTESSORI SCHOOL,2,13,20525 WILLOWS RD,LEXINGTON PARK,24037,037,MD,24,20653,3017372421,170,6,Yes,,37,12,6,4,7,4,2,3,1,1,,,,,77,40,0,4,1,3,32,0,0,7.6,23,1,2,1,3,2,0,10,2.5,7.5,80,0,0,5.26,30,ST. MARY'S,American Montessori Society (AMS),,,,,,,
A0103928,BEAVER CREEK CHILDCARE & KINDERGARTEN,2,3,2165 DAVIDSONVILLE RD,GAMBRILLS,24003,003,MD,24,21054,4107214145,181,5.25,No,,98,10,,,,,,,,,,,,,108,10,0,0,1,3,6,0,0,1.4,21,1,6,1,3,2,0,0,10,30,60,0,0,7.14,30,ANNE ARUNDEL,National Association for the Education of Young Children (NAEYC),,,,,,,
A0103929,BEDDOW HIGH SCHOOL,12,15,501 BRYAN PT. RD,ACCOKEEK,24033,033,MD,24,20607,3012921968,173,6,Yes,,,,,,,,,,4,4,1,2,,,11,11,0,1,0,8,1,0,1,3.5,22,1,1,2,3,2,0,9.09,0,72.72,9.09,0,9.09,3.14,30,PRINCE GEORGE'S,School does not belong to ANY associations or organizations,,,,,,,
02032777,BEDDOW SCHOOL - FT WASHINGTON CAMPUS,1,1,8600 LOUGHRAN RD,FT WASHINGTON,24033,033,MD,24,20744,3015670330,170,6.5,No,30,,,,,,,,,,,,,,,30,30,0,3,1,18,7,0,1,3,21,1,2,3,3,2,0,10,3.33,60,23.33,0,3.33,10,30,PRINCE GEORGE'S,Other Montessori association(s),,,,,,,
A9303113,BEDDOW SCHOOL - WALDORF CAMPUS,2,11,6008 HAMPSHIRE CIR,WALDORF,24017,017,MD,24,20603,3018708660,173,6.5,No,,4,4,8,3,3,1,3,2,,,,,,,28,24,0,1,2,13,7,1,0,3,22,1,2,1,3,2,0,4.16,8.33,54.16,29.16,4.16,0,8,30,CHARLES,Other Montessori association(s),,,,,,,
K9303036,BEGINNINGS MONTESSORI SCHOOL,2,11,15 N SMALLWOOD ST,CUMBERLAND,24001,001,MD,24,21502,3017222220,,6.25,No,,32,5,2,7,5,10,2,2,,,,,,,65,33,,,,,,,,4,13,1,2,1,3,1,,,,,,,,8.25,30,ALLEGANY,School does not belong to ANY associations or organizations,,,,,,,
A0103930,BELAIR BAPTIST CHRISTIAN ACADEMY,2,17,PO BOX 796,BOWIE,24033,033,MD,24,20718,3012620578,180,7,Yes,,2,2,2,4,3,4,1,6,6,3,1,6,4,2,46,44,0,1,1,32,6,0,4,8,21,1,1,3,2,2,0,2.27,2.27,72.72,13.63,0,9.09,5.5,5,PRINCE GEORGE'S,Accelerated Christian Education (ACE),Association of Christian Schools International (ACSI),Southern Baptist Association of Christian Schools (SBACS),,,,,
00581264,BELTSVILLE SDA SCHOOL,3,13,4230 AMMENDALE RD,BELTSVILLE,24033,033,MD,24,20705,3019372933,180,6,Yes,,,23,25,25,20,25,25,25,25,25,,,,,218,218,0,71,30,43,55,0,19,11.9,21,1,1,1,2,2,0,32.56,13.76,19.72,25.22,0,8.71,18.31,2,PRINCE GEORGE'S,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
00579619,BETH TFILOH DAHAN COMMUNITY SCHOOL,2,17,3300 OLD CT RD,BALTIMORE,24005,005,MD,24,21208,4104861905,174,8.25,Yes,,194,37,47,48,45,45,48,74,57,53,89,82,62,64,945,751,0,2,3,4,740,0,2,122.9,21,1,1,3,2,2,0,0.26,0.39,0.53,98.53,0,0.26,6.11,18,BALTIMORE,The Jewish Community Day School Association (RAVSAK),,,,,,,
02031401,BETHEL CHRISTIAN ACADEMY,2,17,21 N EARLTON RD EXT,HAVRE DE GRACE,24025,025,MD,24,21078,4109394060,170,6,Yes,,5,3,2,4,2,2,,1,1,1,,3,,1,25,20,0,0,1,3,12,0,4,4.3,41,1,1,3,2,4,0,0,5,15,60,0,20,4.65,26,HARFORD,School does not belong to ANY associations or organizations,,,,,,,
A9103140,BETHEL CHRISTIAN ACADEMY,2,13,PO BOX 406,SAVAGE,24027,027,MD,24,20763,3017254673,174,6.16,Yes,,73,44,41,40,20,27,25,28,8,21,,,,,327,254,0,2,7,199,23,0,23,30.8,21,1,1,1,2,2,0,0.78,2.75,78.34,9.05,0,9.05,8.24,4,HOWARD,Christian Schools International (CSI),,,,,,,
A1501799,BETHESDA COUNTRY DAY SCHOOL,2,3,5615 BEECH AVE,BETHESDA,24031,031,MD,24,20814,3015306999,,7,Yes,,80,30,,,,,,,,,,,,,110,30,0,5,2,3,20,0,0,4,13,1,7,1,3,1,0,16.66,6.66,10,66.66,0,0,7.5,30,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
BB140603,BETHESDA COUNTRY DAY SCHOOL,3,4,5615 BEECH AVE,BETHESDA,24031,031,MD,24,20814,3015306999,198,7,Yes,,,52,,,,,,,,,,,,,52,52,,,,,,,,4,13,1,7,1,2,1,,,,,,,,13,28,MONTGOMERY,Jesuit Secondary Education Association (JSEA),Other special emphasis association(s),,,,,,
