"","school_id","name","school_type","school_type_detail","grade_band","county","locale_code","pvt_pct_nonwhite","enrollment","teacher_fte"
"1","00253095","ST PHILIP THE APOSTLE SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",98.82,"203","12.9"
"2","00253109","HOLY FAMILY CATHOLIC SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",99.99,"125","12.6"
"3","00253244","THE NORA SCHOOL","private","private","HS","MONTGOMERY","13",26,"50","11.1"
"4","00577655","ST ELIZABETH SCHOOL","private","private","All Grades","BALTIMORE","11",28.08,"121","25"
"5","00577688","ST JOHN SCHOOL","private","private","ES/MS","CARROLL","23",6.77,"233","16.3"
"6","00577702","NOTRE DAME PREPARATORY SCHOOL","private","private","MS/HS","BALTIMORE","21",9.84,"832","103.8"
"7","00577713","CALVERT HALL COLLEGE HIGH SCHOOL","private","private","HS","BALTIMORE","13",23.22,"1170","99.6"
"8","00577724","ST JOHN THE EVANGELIST SCHOOL","private","private","ES/MS","ANNE ARUNDEL","21",9.26,"446","37.1"
"9","00577746","ST PHILIP NERI ELEMENTARY SCHOOL","private","private","ES/MS","ANNE ARUNDEL","21",90.73,"368","22"
"10","00577804","OUR LADY OF PERPETUAL HELP SCHOOL","private","private","ES/MS","HOWARD","21",28.21,"241","16.6"
"11","00577815","ST JOHN EVANGELIST ELEMENTARY SCHOOL","private","private","ES/MS","BALTIMORE","41",6.84,"168","16.8"
"12","00577837","ST MARY CATHOLIC SCHOOL","private","private","ES/MS","WASHINGTON","13",27.03,"215","14"
"13","00577848","ST MARIA GORETTI HIGH SCHOOL","private","private","HS","WASHINGTON","13",21.45,"219","21.1"
"14","00577859","SACRED HEART ELEMENTARY SCHOOL","private","private","ES/MS","BALTIMORE","21",33.82,"498","30.3"
"15","00577881","MONSIGNOR SLADE CATHOLIC SCHOOL","private","private","ES/MS","ANNE ARUNDEL","21",24.82,"549","27"
"16","00577906","ST JOHN REGIONAL CATHOLIC SCHOOL","private","private","ES/MS","FREDERICK","13",21.49,"506","30"
"17","00577983","ST AGNES SCHOOL","private","private","ES/MS","BALTIMORE","21",76.11,"210","13.9"
"18","00578014","ST AUGUSTINE SCHOOL","private","private","ES/MS","HOWARD","21",20.24,"258","16"
"19","00578069","ST JOAN OF ARC SCHOOL","private","private","ES/MS","HARFORD","22",34.98,"191","11.5"
"20","00578091","ST MARY ELEMENTARY SCHOOL","private","private","ES/MS","ANNE ARUNDEL","21",4.43,"789","23.1"
"21","00578105","ST MARYS HIGH SCHOOL","private","private","HS","ANNE ARUNDEL","21",13.32,"495","34"
"22","00578116","ARCHBISHOP CURLEY HIGH SCHOOL","private","private","HS","BALTIMORE","11",32.03,"574","43.3"
"23","00578207","HOLY ANGELS CATHOLIC SCHOOL","private","private","ES/MS","BALTIMORE","11",98.37,"203","9"
"24","00578251","ST CASIMIR CATHOLIC SCHOOL","private","private","ES/MS","BALTIMORE","11",NA,"212","16.6"
"25","00578262","IMMACULATE HEART OF MARY SCHOOL","private","private","ES/MS","BALTIMORE","21",33.58,"411","30.6"
"26","00578309","MERCY HIGH SCHOOL","private","private","HS","BALTIMORE","11",40.17,"326","26.1"
"27","00578331","OUR LADY OF HOPE ST LUKE SCHOOL","private","private","ES/MS","BALTIMORE","21",5.94,"224","11.9"
"28","00578364","ARCHBISHOP BORDERS SCHOOL","private","private","ES/MS","BALTIMORE","11",92.64,"215","12.6"
"29","00578386","OUR LADY OF MT CARMEL SCHOOL","private","private","All Grades","BALTIMORE","21",36.06,"519","38.9"
"30","00578411","MOUNT SAINT JOSEPH HIGH SCHOOL","private","private","HS","BALTIMORE","11",23.72,"922","80.3"
"31","00578433","ST MICHAEL-ST. CLEMENT SCHOOL","private","private","ES/MS","BALTIMORE","21",39.56,"313","20.3"
"32","00578444","ST MARK SCHOOL","private","private","ES/MS","BALTIMORE","21",33.72,"368","24.1"
"33","00578513","BISHOP WALSH SCHOOL","private","private","All Grades","ALLEGANY","13",5.22,"354","35.6"
"34","00578535","ST LOUIS SCHOOL","private","private","ES/MS","HOWARD","13",30.41,"524","30.1"
"35","00578546","MOUNT DE SALES ACADEMY","private","private","HS","BALTIMORE","21",3.16,"506","52.9"
"36","00578557","ST STEPHEN PAROCHIAL SCHOOL","private","private","ES/MS","BALTIMORE","41",8.71,"348","21.3"
"37","00578568","ST MARGARET SCHOOL","private","private","ES/MS","HARFORD","22",7.14,"666","37.4"
"38","00578604","ST URSULA SCHOOL","private","private","ES/MS","BALTIMORE","21",14.79,"638","33.9"
"39","00578648","ST PIUS X SCHOOL","private","private","ES/MS","BALTIMORE","13",50.36,"148","12.3"
"40","00578728","ARCHBISHOP SPALDING HIGH SCHOOL","private","private","HS","ANNE ARUNDEL","21",13,"1245","87.9"
"41","00578783","ST FRANCES ACADEMY","private","private","HS","BALTIMORE","11",97.55,"164","17.5"
"42","00578808","SCHOOL OF THE CATHEDRAL MARY OUR QUEEN","private","private","ES/MS","BALTIMORE","11",13.9,"381","32.1"
"43","00578852","ST FRANCIS OF ASSISI SCHOOL","private","private","ES/MS","BALTIMORE","11",34.21,"253","13.1"
"44","00578863","JOHN CARROLL SCHOOL","private","private","HS","HARFORD","22",13.93,"681","57.3"
"45","00578932","CARDINAL SHEHAN SCHOOL","private","private","ES/MS","BALTIMORE","11",100,"367","24.8"
"46","00578987","OUR LADY OF VICTORY SCHOOL","private","private","ES/MS","BALTIMORE","21",65.45,"181","13.6"
"47","00579018","LOYOLA BLAKEFIELD","private","private","MS/HS","BALTIMORE","13",14.16,"987","84.3"
"48","00579029","ST. JOSEPH SCHOOL - FULLERTON","private","private","ES/MS","BALTIMORE","21",14.4,"540","28"
"49","00579109","BARRIE SCHOOL","private","private","All Grades","MONTGOMERY","21",52.31,"284","35.3"
"50","00579131","GREENSPRING MONTESSORI SCHOOL","private","private","All Grades","BALTIMORE","21",19.3,"246","14.8"
"51","00579164","THE JULIA BROWN SCHOOL","private","private","ES","HOWARD","21",88.88,"74","3.6"
"52","00579186","ST JOHN'S EPISCOPAL SCHOOL","private","private","ES/MS","MONTGOMERY","21",51.92,"147","19.4"
"53","00579299","IVYMOUNT SCHOOL","private","private","All Grades","MONTGOMERY","21",35.73,"207","39.8"
"54","00579302","RIVERDALE BAPTIST SCHOOL","private","private","All Grades","PRINCE GEORGE'S","21",97.98,"590","52"
"55","00579324","LINWOOD SCHOOL","private","private","ES","HOWARD","21",48.14,"54","11.6"
"56","00579346","BARNESVILLE SCHOOL OF ARTS & SCIENCES","private","private","ES/MS","MONTGOMERY","41",20.93,"126","15"
"57","00579357","COUNTRYSIDE CHRISTIAN SCHOOL","private","private","ES/MS","DORCHESTER","41",38.08,"25","4"
"58","00579368","GERMAN INTERNATIONAL SCHOOL WASHINGTON DC","private","private","All Grades","MONTGOMERY","21",6.12,"501","35.9"
"59","00579379","BULLIS SCHOOL","private","private","All Grades","MONTGOMERY","21",16.1,"831","117.1"
"60","00579415","INDIAN CREEK SCHOOL","private","private","All Grades","ANNE ARUNDEL","21",28.72,"556","52.5"
"61","00579448","OLDFIELDS SCHOOL","private","private","HS","BALTIMORE","41",25.82,"120","25.3"
"62","00579506","ST PAUL'S SCHOOL","private","private","All Grades","BALTIMORE","21",23.6,"762","108.6"
